# feature	class	assembly	assembly_unit	seq_type	chromosome	genomic_accession	start	end	strand	product_accession	non-redundant_refseq	related_accession	name	symbol	GeneID	locus_tag	feature_interval_length	product_length	attributes
gene	protein_coding	GCF_000018425.1	Primary Assembly	chromosome		NC_010424.1	11897	13051	+							DAUD_RS00055	1155		old_locus_tag=Daud_0011
CDS	with_protein	GCF_000018425.1	Primary Assembly	chromosome		NC_010424.1	11897	13051	+	WP_012301174.1	WP_012301174.1		alanine--glyoxylate aminotransferase family protein			DAUD_RS00055	1155	384	
gene	protein_coding	GCF_000018425.1	Primary Assembly	chromosome		NC_010424.1	13048	14628	+							DAUD_RS00060	1581		old_locus_tag=Daud_0012
CDS	with_protein	GCF_000018425.1	Primary Assembly	chromosome		NC_010424.1	13048	14628	+	WP_012301175.1	WP_012301175.1		phosphoglycerate dehydrogenase			DAUD_RS00060	1581	526	
gene	protein_coding	GCF_000018425.1	Primary Assembly	chromosome		NC_010424.1	14657	15934	+					serS		DAUD_RS00065	1278		old_locus_tag=Daud_0013
CDS	with_protein	GCF_000018425.1	Primary Assembly	chromosome		NC_010424.1	14657	15934	+	WP_012301176.1	WP_012301176.1		serine--tRNA ligase	serS		DAUD_RS00065	1278	425	
gene	tRNA	GCF_000018425.1	Primary Assembly	chromosome		NC_010424.1	16098	16188	+							DAUD_RS00070	91		old_locus_tag=Daud_R0001
tRNA		GCF_000018425.1	Primary Assembly	chromosome		NC_010424.1	16098	16188	+				tRNA-Ser			DAUD_RS00070	91		anticodon=TGA
gene	tRNA	GCF_000018425.1	Primary Assembly	chromosome		NC_010424.1	16321	16415	+							DAUD_RS00075	95		old_locus_tag=Daud_R0002
tRNA		GCF_000018425.1	Primary Assembly	chromosome		NC_010424.1	16321	16415	+				tRNA-Ser			DAUD_RS00075	95		anticodon=GCT
gene	tRNA	GCF_000018425.1	Primary Assembly	chromosome		NC_010424.1	16551	16626	+							DAUD_RS00080	76		old_locus_tag=Daud_R0003
tRNA		GCF_000018425.1	Primary Assembly	chromosome		NC_010424.1	16551	16626	+				tRNA-Arg			DAUD_RS00080	76		anticodon=ACG
gene	tRNA	GCF_000018425.1	Primary Assembly	chromosome		NC_010424.1	16805	16881	+							DAUD_RS00085	77		old_locus_tag=Daud_R0004
tRNA		GCF_000018425.1	Primary Assembly	chromosome		NC_010424.1	16805	16881	+				tRNA-Arg			DAUD_RS00085	77		anticodon=CCT
gene	protein_coding	GCF_000018425.1	Primary Assembly	chromosome		NC_010424.1	17012	17443	+							DAUD_RS00090	432		old_locus_tag=Daud_0014
CDS	with_protein	GCF_000018425.1	Primary Assembly	chromosome		NC_010424.1	17012	17443	+	WP_041570977.1	WP_041570977.1		nucleoside deaminase			DAUD_RS00090	432	143	
gene	tRNA	GCF_000018425.1	Primary Assembly	chromosome		NC_010424.1	17472	17567	+							DAUD_RS00095	96		old_locus_tag=Daud_R0005
tRNA		GCF_000018425.1	Primary Assembly	chromosome		NC_010424.1	17472	17567	+				tRNA-Ser			DAUD_RS00095	96		anticodon=CGA
gene	protein_coding	GCF_000018425.1	Primary Assembly	chromosome		NC_010424.1	17649	20099	-							DAUD_RS00100	2451		old_locus_tag=Daud_0015
CDS	with_protein	GCF_000018425.1	Primary Assembly	chromosome		NC_010424.1	17649	20099	-	WP_012301178.1	WP_012301178.1		alpha-glucosidase			DAUD_RS00100	2451	816	
gene	protein_coding	GCF_000018425.1	Primary Assembly	chromosome		NC_010424.1	20146	20313	+							DAUD_RS12200	168		
CDS	with_protein	GCF_000018425.1	Primary Assembly	chromosome		NC_010424.1	20146	20313	+	WP_166485041.1	WP_166485041.1		hypothetical protein			DAUD_RS12200	168	55	
gene	pseudogene	GCF_000018425.1	Primary Assembly	chromosome		NC_010424.1	20671	21276	+							DAUD_RS00105	606		partial;pseudo;old_locus_tag=Daud_0016
CDS	without_protein	GCF_000018425.1	Primary Assembly	chromosome		NC_010424.1	20671	21276	+				hypothetical protein			DAUD_RS00105	606		partial;pseudo
gene	protein_coding	GCF_000018425.1	Primary Assembly	chromosome		NC_010424.1	21725	22210	+							DAUD_RS00110	486		old_locus_tag=Daud_0017
CDS	with_protein	GCF_000018425.1	Primary Assembly	chromosome		NC_010424.1	21725	22210	+	WP_166485042.1	WP_166485042.1		hypothetical protein			DAUD_RS00110	486	161	
gene	protein_coding	GCF_000018425.1	Primary Assembly	chromosome		NC_010424.1	22313	23461	-					neuC		DAUD_RS00115	1149		old_locus_tag=Daud_0018
CDS	with_protein	GCF_000018425.1	Primary Assembly	chromosome		NC_010424.1	22313	23461	-	WP_012301181.1	WP_012301181.1		UDP-N-acetylglucosamine 2-epimerase (hydrolyzing)	neuC		DAUD_RS00115	1149	382	
gene	protein_coding	GCF_000018425.1	Primary Assembly	chromosome		NC_010424.1	23472	24464	-							DAUD_RS00120	993		old_locus_tag=Daud_0019
CDS	with_protein	GCF_000018425.1	Primary Assembly	chromosome		NC_010424.1	23472	24464	-	WP_041570980.1	WP_041570980.1		hypothetical protein			DAUD_RS00120	993	330	
gene	protein_coding	GCF_000018425.1	Primary Assembly	chromosome		NC_010424.1	24564	25625	+							DAUD_RS00125	1062		old_locus_tag=Daud_0020
CDS	with_protein	GCF_000018425.1	Primary Assembly	chromosome		NC_010424.1	24564	25625	+	WP_012301183.1	WP_012301183.1		polysaccharide biosynthesis protein			DAUD_RS00125	1062	353	
gene	protein_coding	GCF_000018425.1	Primary Assembly	chromosome		NC_010424.1	25618	26319	+							DAUD_RS00130	702		old_locus_tag=Daud_0021
CDS	with_protein	GCF_000018425.1	Primary Assembly	chromosome		NC_010424.1	25618	26319	+	WP_012301184.1	WP_012301184.1		acylneuraminate cytidylyltransferase family protein			DAUD_RS00130	702	233	
gene	protein_coding	GCF_000018425.1	Primary Assembly	chromosome		NC_010424.1	26316	27353	+							DAUD_RS00135	1038		old_locus_tag=Daud_0022
CDS	with_protein	GCF_000018425.1	Primary Assembly	chromosome		NC_010424.1	26316	27353	+	WP_012301185.1	WP_012301185.1		oxidoreductase			DAUD_RS00135	1038	345	
gene	protein_coding	GCF_000018425.1	Primary Assembly	chromosome		NC_010424.1	27436	28917	+							DAUD_RS00140	1482		old_locus_tag=Daud_0023
CDS	with_protein	GCF_000018425.1	Primary Assembly	chromosome		NC_010424.1	27436	28917	+	WP_166485192.1	WP_166485192.1		hypothetical protein			DAUD_RS00140	1482	493	
gene	protein_coding	GCF_000018425.1	Primary Assembly	chromosome		NC_010424.1	28947	30455	+							DAUD_RS00145	1509		old_locus_tag=Daud_0024
CDS	with_protein	GCF_000018425.1	Primary Assembly	chromosome		NC_010424.1	28947	30455	+	WP_012301187.1	WP_012301187.1		hypothetical protein			DAUD_RS00145	1509	502	
gene	protein_coding	GCF_000018425.1	Primary Assembly	chromosome		NC_010424.1	30445	31446	+							DAUD_RS00150	1002		old_locus_tag=Daud_0025
CDS	with_protein	GCF_000018425.1	Primary Assembly	chromosome		NC_010424.1	30445	31446	+	WP_012301188.1	WP_012301188.1		Gfo/Idh/MocA family oxidoreductase			DAUD_RS00150	1002	333	
gene	protein_coding	GCF_000018425.1	Primary Assembly	chromosome		NC_010424.1	31450	32919	+							DAUD_RS00155	1470		old_locus_tag=Daud_0026
CDS	with_protein	GCF_000018425.1	Primary Assembly	chromosome		NC_010424.1	31450	32919	+	WP_012301189.1	WP_012301189.1		hypothetical protein			DAUD_RS00155	1470	489	
gene	protein_coding	GCF_000018425.1	Primary Assembly	chromosome		NC_010424.1	32943	33578	+							DAUD_RS00160	636		old_locus_tag=Daud_0027
CDS	with_protein	GCF_000018425.1	Primary Assembly	chromosome		NC_010424.1	32943	33578	+	WP_166485043.1	WP_166485043.1		acetyltransferase			DAUD_RS00160	636	211	
gene	protein_coding	GCF_000018425.1	Primary Assembly	chromosome		NC_010424.1	33609	34820	-							DAUD_RS00165	1212		old_locus_tag=Daud_0028
CDS	with_protein	GCF_000018425.1	Primary Assembly	chromosome		NC_010424.1	33609	34820	-	WP_012301191.1	WP_012301191.1		DegT/DnrJ/EryC1/StrS aminotransferase family protein			DAUD_RS00165	1212	403	
gene	protein_coding	GCF_000018425.1	Primary Assembly	chromosome		NC_010424.1	35052	36650	-							DAUD_RS00170	1599		old_locus_tag=Daud_0029
CDS	with_protein	GCF_000018425.1	Primary Assembly	chromosome		NC_010424.1	35052	36650	-	WP_166485044.1	WP_166485044.1		hypothetical protein			DAUD_RS00170	1599	532	
gene	protein_coding	GCF_000018425.1	Primary Assembly	chromosome		NC_010424.1	36954	38372	+							DAUD_RS00175	1419		old_locus_tag=Daud_0030
CDS	with_protein	GCF_000018425.1	Primary Assembly	chromosome		NC_010424.1	36954	38372	+	WP_012301193.1	WP_012301193.1		ISLre2-like element ISCde3 family transposase			DAUD_RS00175	1419	472	
gene	tRNA	GCF_000018425.1	Primary Assembly	chromosome		NC_010424.1	38521	38610	+							DAUD_RS00180	90		old_locus_tag=Daud_R0006
tRNA		GCF_000018425.1	Primary Assembly	chromosome		NC_010424.1	38521	38610	+				tRNA-Ser			DAUD_RS00180	90		anticodon=GGA
gene	SRP_RNA	GCF_000018425.1	Primary Assembly	chromosome		NC_010424.1	38632	38897	+					ffs		DAUD_RS11780	266		
ncRNA	SRP_RNA	GCF_000018425.1	Primary Assembly	chromosome		NC_010424.1	38632	38897	+				signal recognition particle sRNA large type	ffs		DAUD_RS11780	266		
gene	protein_coding	GCF_000018425.1	Primary Assembly	chromosome		NC_010424.1	39142	40485	+					dnaX		DAUD_RS00185	1344		old_locus_tag=Daud_0031
CDS	with_protein	GCF_000018425.1	Primary Assembly	chromosome		NC_010424.1	39142	40485	+	WP_012301194.1	WP_012301194.1		DNA polymerase III subunit gamma/tau	dnaX		DAUD_RS00185	1344	447	
gene	protein_coding	GCF_000018425.1	Primary Assembly	chromosome		NC_010424.1	40500	40811	+							DAUD_RS00190	312		old_locus_tag=Daud_0032
CDS	with_protein	GCF_000018425.1	Primary Assembly	chromosome		NC_010424.1	40500	40811	+	WP_041570687.1	WP_041570687.1		YbaB/EbfC family nucleoid-associated protein			DAUD_RS00190	312	103	
gene	protein_coding	GCF_000018425.1	Primary Assembly	chromosome		NC_010424.1	40842	41438	+					recR		DAUD_RS00195	597		old_locus_tag=Daud_0033
CDS	with_protein	GCF_000018425.1	Primary Assembly	chromosome		NC_010424.1	40842	41438	+	WP_012301196.1	WP_012301196.1		recombination protein RecR	recR		DAUD_RS00195	597	198	
gene	protein_coding	GCF_000018425.1	Primary Assembly	chromosome		NC_010424.1	41502	41762	+					bofA		DAUD_RS00200	261		old_locus_tag=Daud_0034
CDS	with_protein	GCF_000018425.1	Primary Assembly	chromosome		NC_010424.1	41502	41762	+	WP_041570688.1	WP_041570688.1		pro-sigmaK processing inhibitor BofA	bofA		DAUD_RS00200	261	86	
gene	protein_coding	GCF_000018425.1	Primary Assembly	chromosome		NC_010424.1	41822	43309	+							DAUD_RS00205	1488		old_locus_tag=Daud_0035
CDS	with_protein	GCF_000018425.1	Primary Assembly	chromosome		NC_010424.1	41822	43309	+	WP_012301198.1	WP_012301198.1		Orn/Lys/Arg decarboxylase, major region			DAUD_RS00205	1488	495	
gene	protein_coding	GCF_000018425.1	Primary Assembly	chromosome		NC_010424.1	43315	43980	+							DAUD_RS00210	666		old_locus_tag=Daud_0036
CDS	with_protein	GCF_000018425.1	Primary Assembly	chromosome		NC_010424.1	43315	43980	+	WP_012301199.1	WP_012301199.1		dTMP kinase			DAUD_RS00210	666	221	
gene	protein_coding	GCF_000018425.1	Primary Assembly	chromosome		NC_010424.1	43977	45002	+					holB		DAUD_RS00215	1026		old_locus_tag=Daud_0037
CDS	with_protein	GCF_000018425.1	Primary Assembly	chromosome		NC_010424.1	43977	45002	+	WP_166485045.1	WP_166485045.1		DNA polymerase III subunit delta'	holB		DAUD_RS00215	1026	341	
gene	protein_coding	GCF_000018425.1	Primary Assembly	chromosome		NC_010424.1	44971	45783	+							DAUD_RS00220	813		old_locus_tag=Daud_0038
CDS	with_protein	GCF_000018425.1	Primary Assembly	chromosome		NC_010424.1	44971	45783	+	WP_012301201.1	WP_012301201.1		stage 0 sporulation family protein			DAUD_RS00220	813	270	
gene	protein_coding	GCF_000018425.1	Primary Assembly	chromosome		NC_010424.1	45922	46770	+					rsmI		DAUD_RS00225	849		old_locus_tag=Daud_0039
CDS	with_protein	GCF_000018425.1	Primary Assembly	chromosome		NC_010424.1	45922	46770	+	WP_012301202.1	WP_012301202.1		16S rRNA (cytidine(1402)-2'-O)-methyltransferase	rsmI		DAUD_RS00225	849	282	
gene	protein_coding	GCF_000018425.1	Primary Assembly	chromosome		NC_010424.1	46820	47074	-							DAUD_RS00230	255		old_locus_tag=Daud_0040
CDS	with_protein	GCF_000018425.1	Primary Assembly	chromosome		NC_010424.1	46820	47074	-	WP_012301203.1	WP_012301203.1		AbrB/MazE/SpoVT family DNA-binding domain-containing protein			DAUD_RS00230	255	84	
gene	protein_coding	GCF_000018425.1	Primary Assembly	chromosome		NC_010424.1	47289	48833	+					metG		DAUD_RS00235	1545		old_locus_tag=Daud_0041
CDS	with_protein	GCF_000018425.1	Primary Assembly	chromosome		NC_010424.1	47289	48833	+	WP_041570986.1	WP_041570986.1		methionine--tRNA ligase	metG		DAUD_RS00235	1545	514	
gene	protein_coding	GCF_000018425.1	Primary Assembly	chromosome		NC_010424.1	48835	49620	+							DAUD_RS00240	786		old_locus_tag=Daud_0042
CDS	with_protein	GCF_000018425.1	Primary Assembly	chromosome		NC_010424.1	48835	49620	+	WP_012301205.1	WP_012301205.1		TatD family hydrolase			DAUD_RS00240	786	261	
gene	protein_coding	GCF_000018425.1	Primary Assembly	chromosome		NC_010424.1	49661	50191	+					cobO		DAUD_RS00245	531		old_locus_tag=Daud_0043
CDS	with_protein	GCF_000018425.1	Primary Assembly	chromosome		NC_010424.1	49661	50191	+	WP_012301206.1	WP_012301206.1		cob(I)yrinic acid a,c-diamide adenosyltransferase	cobO		DAUD_RS00245	531	176	
gene	protein_coding	GCF_000018425.1	Primary Assembly	chromosome		NC_010424.1	50323	51339	+							DAUD_RS00250	1017		old_locus_tag=Daud_0044
CDS	with_protein	GCF_000018425.1	Primary Assembly	chromosome		NC_010424.1	50323	51339	+	WP_012301207.1	WP_012301207.1		DUF348 domain-containing protein			DAUD_RS00250	1017	338	
gene	protein_coding	GCF_000018425.1	Primary Assembly	chromosome		NC_010424.1	51389	52288	+					rsmA		DAUD_RS00255	900		old_locus_tag=Daud_0045
CDS	with_protein	GCF_000018425.1	Primary Assembly	chromosome		NC_010424.1	51389	52288	+	WP_012301208.1	WP_012301208.1		16S rRNA (adenine(1518)-N(6)/adenine(1519)-N(6))-dimethyltransferase RsmA	rsmA		DAUD_RS00255	900	299	
gene	protein_coding	GCF_000018425.1	Primary Assembly	chromosome		NC_010424.1	52330	52803	+							DAUD_RS00260	474		old_locus_tag=Daud_0046
CDS	with_protein	GCF_000018425.1	Primary Assembly	chromosome		NC_010424.1	52330	52803	+	WP_012301209.1	WP_012301209.1		hypothetical protein			DAUD_RS00260	474	157	
gene	protein_coding	GCF_000018425.1	Primary Assembly	chromosome		NC_010424.1	52937	53755	-							DAUD_RS00265	819		old_locus_tag=Daud_0047
CDS	with_protein	GCF_000018425.1	Primary Assembly	chromosome		NC_010424.1	52937	53755	-	WP_012301210.1	WP_012301210.1		glycosyltransferase			DAUD_RS00265	819	272	
gene	protein_coding	GCF_000018425.1	Primary Assembly	chromosome		NC_010424.1	53880	54740	+					yabG		DAUD_RS00270	861		old_locus_tag=Daud_0048
CDS	with_protein	GCF_000018425.1	Primary Assembly	chromosome		NC_010424.1	53880	54740	+	WP_012301211.1	WP_012301211.1		sporulation peptidase YabG	yabG		DAUD_RS00270	861	286	
gene	protein_coding	GCF_000018425.1	Primary Assembly	chromosome		NC_010424.1	54965	55240	+							DAUD_RS00275	276		old_locus_tag=Daud_0049
CDS	with_protein	GCF_000018425.1	Primary Assembly	chromosome		NC_010424.1	54965	55240	+	WP_166485046.1	WP_166485046.1		hypothetical protein			DAUD_RS00275	276	91	
gene	protein_coding	GCF_000018425.1	Primary Assembly	chromosome		NC_010424.1	55353	55562	+							DAUD_RS00280	210		
CDS	with_protein	GCF_000018425.1	Primary Assembly	chromosome		NC_010424.1	55353	55562	+	WP_041570690.1	WP_041570690.1		hypothetical protein			DAUD_RS00280	210	69	
gene	protein_coding	GCF_000018425.1	Primary Assembly	chromosome		NC_010424.1	55586	55789	+							DAUD_RS00285	204		
CDS	with_protein	GCF_000018425.1	Primary Assembly	chromosome		NC_010424.1	55586	55789	+	WP_041570691.1	WP_041570691.1		hypothetical protein			DAUD_RS00285	204	67	
gene	protein_coding	GCF_000018425.1	Primary Assembly	chromosome		NC_010424.1	55899	56186	+							DAUD_RS00290	288		old_locus_tag=Daud_0050
CDS	with_protein	GCF_000018425.1	Primary Assembly	chromosome		NC_010424.1	55899	56186	+	WP_012301213.1	WP_012301213.1		hypothetical protein			DAUD_RS00290	288	95	
gene	protein_coding	GCF_000018425.1	Primary Assembly	chromosome		NC_010424.1	56849	57262	+							DAUD_RS11355	414		
CDS	with_protein	GCF_000018425.1	Primary Assembly	chromosome		NC_010424.1	56849	57262	+	WP_083756686.1	WP_083756686.1		hypothetical protein			DAUD_RS11355	414	137	
gene	protein_coding	GCF_000018425.1	Primary Assembly	chromosome		NC_010424.1	57426	58871	+							DAUD_RS00300	1446		old_locus_tag=Daud_0052
CDS	with_protein	GCF_000018425.1	Primary Assembly	chromosome		NC_010424.1	57426	58871	+	WP_012301215.1	WP_012301215.1		DUF3794 domain-containing protein			DAUD_RS00300	1446	481	
gene	protein_coding	GCF_000018425.1	Primary Assembly	chromosome		NC_010424.1	58977	60611	+							DAUD_RS00305	1635		old_locus_tag=Daud_0053
CDS	with_protein	GCF_000018425.1	Primary Assembly	chromosome		NC_010424.1	58977	60611	+	WP_041570692.1	WP_041570692.1		DUF3794 domain-containing protein			DAUD_RS00305	1635	544	
gene	protein_coding	GCF_000018425.1	Primary Assembly	chromosome		NC_010424.1	60662	61207	-							DAUD_RS00310	546		old_locus_tag=Daud_0054
CDS	with_protein	GCF_000018425.1	Primary Assembly	chromosome		NC_010424.1	60662	61207	-	WP_041570693.1	WP_041570693.1		hypothetical protein			DAUD_RS00310	546	181	
gene	protein_coding	GCF_000018425.1	Primary Assembly	chromosome		NC_010424.1	61261	61500	-							DAUD_RS00315	240		old_locus_tag=Daud_0055
CDS	with_protein	GCF_000018425.1	Primary Assembly	chromosome		NC_010424.1	61261	61500	-	WP_041570694.1	WP_041570694.1		hypothetical protein			DAUD_RS00315	240	79	
gene	protein_coding	GCF_000018425.1	Primary Assembly	chromosome		NC_010424.1	61602	62048	+							DAUD_RS00320	447		old_locus_tag=Daud_0056
CDS	with_protein	GCF_000018425.1	Primary Assembly	chromosome		NC_010424.1	61602	62048	+	WP_012301218.1	WP_012301218.1		DMT family transporter			DAUD_RS00320	447	148	
gene	protein_coding	GCF_000018425.1	Primary Assembly	chromosome		NC_010424.1	62037	62744	-							DAUD_RS00325	708		old_locus_tag=Daud_0057
CDS	with_protein	GCF_000018425.1	Primary Assembly	chromosome		NC_010424.1	62037	62744	-	WP_012301219.1	WP_012301219.1		ZIP family metal transporter			DAUD_RS00325	708	235	
gene	protein_coding	GCF_000018425.1	Primary Assembly	chromosome		NC_010424.1	62863	63717	+					ispE		DAUD_RS00330	855		old_locus_tag=Daud_0058
CDS	with_protein	GCF_000018425.1	Primary Assembly	chromosome		NC_010424.1	62863	63717	+	WP_041570695.1	WP_041570695.1		4-(cytidine 5'-diphospho)-2-C-methyl-D-erythritol kinase	ispE		DAUD_RS00330	855	284	
gene	protein_coding	GCF_000018425.1	Primary Assembly	chromosome		NC_010424.1	63849	64538	+							DAUD_RS00335	690		old_locus_tag=Daud_0059
CDS	with_protein	GCF_000018425.1	Primary Assembly	chromosome		NC_010424.1	63849	64538	+	WP_012301221.1	WP_012301221.1		GntR family transcriptional regulator			DAUD_RS00335	690	229	
gene	protein_coding	GCF_000018425.1	Primary Assembly	chromosome		NC_010424.1	64531	65292	+							DAUD_RS00340	762		old_locus_tag=Daud_0060
CDS	with_protein	GCF_000018425.1	Primary Assembly	chromosome		NC_010424.1	64531	65292	+	WP_012301222.1	WP_012301222.1		NTP transferase domain-containing protein			DAUD_RS00340	762	253	
gene	protein_coding	GCF_000018425.1	Primary Assembly	chromosome		NC_010424.1	65355	65774	-							DAUD_RS00345	420		old_locus_tag=Daud_0061
CDS	with_protein	GCF_000018425.1	Primary Assembly	chromosome		NC_010424.1	65355	65774	-	WP_012301223.1	WP_012301223.1		type II toxin-antitoxin system VapC family toxin			DAUD_RS00345	420	139	
gene	protein_coding	GCF_000018425.1	Primary Assembly	chromosome		NC_010424.1	65768	66052	-							DAUD_RS00350	285		old_locus_tag=Daud_0062
CDS	with_protein	GCF_000018425.1	Primary Assembly	chromosome		NC_010424.1	65768	66052	-	WP_012301224.1	WP_012301224.1		type II toxin-antitoxin system prevent-host-death family antitoxin			DAUD_RS00350	285	94	
gene	protein_coding	GCF_000018425.1	Primary Assembly	chromosome		NC_010424.1	66211	66366	-							DAUD_RS00355	156		old_locus_tag=Daud_0063
CDS	with_protein	GCF_000018425.1	Primary Assembly	chromosome		NC_010424.1	66211	66366	-	WP_083756687.1	WP_083756687.1		SirA family protein			DAUD_RS00355	156	51	
gene	protein_coding	GCF_000018425.1	Primary Assembly	chromosome		NC_010424.1	66413	67492	-							DAUD_RS00360	1080		old_locus_tag=Daud_0064
CDS	with_protein	GCF_000018425.1	Primary Assembly	chromosome		NC_010424.1	66413	67492	-	WP_041570989.1	WP_041570989.1		YedE-related selenium metabolism membrane protein			DAUD_RS00360	1080	359	
gene	tRNA	GCF_000018425.1	Primary Assembly	chromosome		NC_010424.1	67533	67627	-							DAUD_RS12205	95		
tRNA		GCF_000018425.1	Primary Assembly	chromosome		NC_010424.1	67533	67627	-				tRNA-OTHER			DAUD_RS12205	95		
gene	protein_coding	GCF_000018425.1	Primary Assembly	chromosome		NC_010424.1	67770	68660	-							DAUD_RS00365	891		old_locus_tag=Daud_0065
CDS	with_protein	GCF_000018425.1	Primary Assembly	chromosome		NC_010424.1	67770	68660	-	WP_012301227.1	WP_012301227.1		LysR family transcriptional regulator			DAUD_RS00365	891	296	
gene	protein_coding	GCF_000018425.1	Primary Assembly	chromosome		NC_010424.1	68777	69853	+					ilvA		DAUD_RS00370	1077		old_locus_tag=Daud_0066
CDS	with_protein	GCF_000018425.1	Primary Assembly	chromosome		NC_010424.1	68777	69853	+	WP_012301228.1	WP_012301228.1		threonine ammonia-lyase	ilvA		DAUD_RS00370	1077	358	
gene	protein_coding	GCF_000018425.1	Primary Assembly	chromosome		NC_010424.1	69859	70125	+					spoVG		DAUD_RS00375	267		old_locus_tag=Daud_0067
CDS	with_protein	GCF_000018425.1	Primary Assembly	chromosome		NC_010424.1	69859	70125	+	WP_012301229.1	WP_012301229.1		septation regulator SpoVG	spoVG		DAUD_RS00375	267	88	
gene	protein_coding	GCF_000018425.1	Primary Assembly	chromosome		NC_010424.1	70344	71744	+					glmU		DAUD_RS00380	1401		old_locus_tag=Daud_0068
CDS	with_protein	GCF_000018425.1	Primary Assembly	chromosome		NC_010424.1	70344	71744	+	WP_012301230.1	WP_012301230.1		bifunctional UDP-N-acetylglucosamine diphosphorylase/glucosamine-1-phosphate N-acetyltransferase GlmU	glmU		DAUD_RS00380	1401	466	
gene	protein_coding	GCF_000018425.1	Primary Assembly	chromosome		NC_010424.1	71768	72724	+							DAUD_RS00385	957		old_locus_tag=Daud_0069
CDS	with_protein	GCF_000018425.1	Primary Assembly	chromosome		NC_010424.1	71768	72724	+	WP_012301231.1	WP_012301231.1		ribose-phosphate pyrophosphokinase			DAUD_RS00385	957	318	
gene	protein_coding	GCF_000018425.1	Primary Assembly	chromosome		NC_010424.1	72773	73408	+							DAUD_RS00390	636		old_locus_tag=Daud_0070
