"MAPPED_TRAIT"	"risk_count"	"risk_1"	"risk_count_2"	"overall_risk * 100"
"147"	"Barrett's esophagus"	3	1	2	75
"148"	"basal cell carcinoma"	35	19	16	64.8148148148148
"149"	"basophil count"	43	23	20	65.1515151515152
"150"	"basophil count, eosinophil count"	6	5	1	54.5454545454545
"151"	"basophil percentage of granulocytes"	5	4	1	55.5555555555556
"152"	"basophil percentage of leukocytes"	14	6	8	70
"153"	"behavioural inhibitory control measurement"	1	1	0	50
"154"	"Behcet's syndrome"	3	2	1	60
"155"	"beta-2 microglobulin measurement"	3	2	1	60
"156"	"beta-amyloid 1-42 measurement"	2	2	0	50
"157"	"beta-amyloid 1-42 measurement, cerebrospinal fluid biomarker measurement"	2	0	2	100
"158"	"Beta blocking agent use measurement"	1	1	0	50
"159"	"biliary liver cirrhosis"	17	14	3	54.8387096774194
"160"	"bilirubin measurement"	8	8	0	50
"161"	"bilirubin measurement, metabolic syndrome"	5	5	0	50
"162"	"binge eating, bipolar disorder"	1	1	0	50
"163"	"bipolar disorder"	34	22	12	60.7142857142857
"164"	"bipolar disorder, body mass index"	3	2	1	60
"165"	"bipolar disorder, response to lithium ion"	3	2	1	60
"166"	"bipolar I disorder"	6	4	2	60
"167"	"birth weight"	66	42	24	61.1111111111111
"168"	"birth weight, parental genotype effect measurement"	20	9	11	68.9655172413793
"169"	"bitter alcoholic beverage consumption measurement"	10	5	5	66.6666666666667
"170"	"bitter beverage consumption measurement"	5	2	3	71.4285714285714
"171"	"bitter non-alcoholic beverage consumption measurement"	3	2	1	60
"172"	"bladder carcinoma"	22	8	14	73.3333333333333
"173"	"Bladder exstrophy"	1	1	0	50
"174"	"blood lead measurement"	2	2	0	50
"175"	"blood metabolite measurement"	184	104	80	63.8888888888889
"176"	"blood metabolite measurement, amino acid measurement"	2	0	2	100
"177"	"blood metabolite measurement, protein measurement, amino acid measurement"	4	0	4	100
"178"	"blood osmolality measurement"	3	1	2	75
"179"	"blood protein measurement"	360	199	161	64.4007155635063
"180"	"blood sedimentation"	2	0	2	100
"181"	"blood urea nitrogen measurement"	17	10	7	62.962962962963
"182"	"BMI-adjusted adiponectin measurement"	3	1	2	75
"183"	"BMI-adjusted hip circumference"	89	50	39	64.0287769784173
"184"	"BMI-adjusted leptin measurement"	46	15	31	75.4098360655738
"185"	"BMI-adjusted waist-hip ratio"	379	187	192	66.9611307420495
"186"	"BMI-adjusted waist-hip ratio, physical activity measurement"	60	28	32	68.1818181818182
"187"	"BMI-adjusted waist-hip ratio, sex interaction measurement"	8	7	1	53.3333333333333
"188"	"BMI-adjusted waist-hip ratio, sex interaction measurement, age at assessment"	27	13	14	67.5
"189"	"BMI-adjusted waist circumference"	106	61	45	63.4730538922156
"190"	"BMI-adjusted waist circumference, physical activity measurement"	199	103	96	65.8940397350993
"191"	"body composition measurement"	5	5	0	50
"192"	"body fat distribution"	58	41	17	58.5858585858586
"193"	"body fat percentage"	16	8	8	66.6666666666667
"194"	"body height"	512	293	219	63.6024844720497
"195"	"body height at birth"	9	7	2	56.25
"196"	"body mass index"	923	536	387	63.262508567512
"197"	"body mass index, age at assessment"	4	2	2	66.6666666666667
"198"	"body mass index, fasting blood glucose measurement"	14	8	6	63.6363636363636
"199"	"body mass index, fasting blood insulin measurement"	11	3	8	78.5714285714286
"200"	"body mass index, visceral:subcutaneous adipose tissue ratio"	1	1	0	50
"201"	"body weight"	21	12	9	63.6363636363636
"202"	"body weights and measures, body height"	3	3	0	50
"203"	"bone density"	149	92	57	61.8257261410788
"204"	"bone density, lean body mass"	3	3	0	50
"205"	"bone fracture"	12	7	5	63.1578947368421
"206"	"bone mineral content measurement"	9	9	0	50
"207"	"bone quantitative ultrasound measurement"	9	7	2	56.25
"208"	"Borderline personality disorder"	2	1	1	66.6666666666667
"209"	"brain aneurysm"	18	7	11	72
"210"	"brain infarction"	1	0	1	100
"211"	"brain infarction, neuritic plaque measurement, Lewy body dementia, cerebral amyloid angiopathy, neurofibrillary tangles measurement"	4	1	3	80
"212"	"brain measurement"	1	0	1	100
"213"	"brain measurement, hippocampal volume"	3	3	0	50
"214"	"brain stem volume measurement"	1	1	0	50
"215"	"brain volume measurement, intracranial volume measurement"	1	1	0	50
"216"	"brain volume measurement, putamen volume"	3	1	2	75
"217"	"BRCAX breast cancer"	3	0	3	100
"218"	"breast cancer anti-estrogen resistance protein 3 measurement"	1	0	1	100
"219"	"breast carcinoma"	290	140	150	67.4418604651163
"220"	"breast size"	6	6	0	50
"221"	"Bronchopulmonary dysplasia"	1	1	0	50
"222"	"Bronchopulmonary dysplasia, premature birth"	1	1	0	50
"223"	"Brugada syndrome"	1	1	0	50
"224"	"bulimia nervosa"	2	1	1	66.6666666666667
"225"	"butyrylcholinesterase measurement"	3	3	0	50
"226"	"C-C motif chemokine 3 measurement"	1	1	0	50
"227"	"C-peptide measurement"	1	0	1	100
"228"	"C-peptide measurement, type I diabetes mellitus"	2	2	0	50
"229"	"C-reactive protein measurement"	134	51	83	72.4324324324324
"230"	"C-reactive protein measurement, high density lipoprotein cholesterol measurement"	9	4	5	69.2307692307692
"231"	"C-X-C motif chemokine 10 measurement"	2	0	2	100
"232"	"C-X-C motif chemokine 6 measurement"	1	1	0	50
"233"	"CADASIL, white matter hyperintensity measurement"	1	1	0	50
"234"	"cadherin-5 measurement"	1	1	0	50
"235"	"caffeine metabolite measurement"	10	10	0	50
"236"	"Calcium channel blocker use measurement"	8	8	0	50
"237"	"calcium measurement"	8	5	3	61.5384615384615
"238"	"calcium/calmodulin-dependent protein kinase type 1 measurement"	1	1	0	50
"239"	"cancer"	16	6	10	72.7272727272727
"240"	"cancer aggressiveness measurement, Gleason score measurement, prostate carcinoma"	1	0	1	100
"241"	"cancer antigen 19.9 measurement"	1	1	0	50
"242"	"cancer biomarker measurement"	3	2	1	60
"243"	"cancer, response to opioid"	1	1	0	50
"244"	"cannabis dependence measurement"	2	0	2	100
"245"	"Cannabis use initiation"	1	1	0	50
"246"	"Cannabis use, age at onset"	1	1	0	50
"247"	"carbohydrate sulfotransferase 15 measurement"	1	1	0	50
"248"	"carbonic anhydrase 6 measurement"	1	1	0	50
"249"	"cardiac arrhythmia"	1	1	0	50
"250"	"cardiac troponin T measurement"	2	1	1	66.6666666666667
"251"	"cardiovascular disease, type II diabetes mellitus"	1	0	1	100
"252"	"cardiovascular measurement"	1	1	0	50
"253"	"carotenoid measurement"	1	0	1	100
"254"	"carotid artery intima media thickness"	1	0	1	100
"255"	"carotid atherosclerosis"	1	0	1	100
"256"	"carotid plaque build"	1	1	0	50
"257"	"carpal tunnel syndrome"	1	1	0	50
"258"	"carrier status, ovarian carcinoma"	1	0	1	100
"259"	"cartilage thickness measurement"	1	1	0	50
"260"	"cathepsin D measurement"	2	2	0	50
"261"	"cathepsin L1 measurement"	2	2	0	50
"262"	"cathepsin Z measurement"	1	1	0	50
"263"	"caudate nucleus volume"	3	1	2	75
"264"	"CCL19 measurement"	1	1	0	50
"265"	"CCL2 measurement"	12	8	4	60
"266"	"CCL4 measurement"	1	0	1	100
"267"	"CD109 antigen measurement"	1	1	0	50
"268"	"CD209 antigen measurement"	1	1	0	50
"269"	"celiac disease"	11	8	3	57.8947368421053
"270"	"celiac disease, Crohn's disease"	1	1	0	50
"271"	"central corneal thickness"	6	3	3	66.6666666666667
"272"	"central corneal thickness, intraocular pressure measurement"	1	1	0	50
"273"	"central nervous system cancer"	13	8	5	61.9047619047619
"274"	"central nervous system cancer, glioblastoma multiforme"	1	1	0	50
"275"	"central nervous system cancer, glioma"	2	2	0	50
"276"	"central nervous system non-hodgkin lymphoma"	1	0	1	100
"277"	"ceramide measurement"	2	1	1	66.6666666666667
"278"	"cerebral amyloid angiopathy"	1	0	1	100
"279"	"cerebral amyloid deposition measurement"	8	5	3	61.5384615384615
"280"	"cerebrospinal fluid biomarker measurement"	1	0	1	100
"281"	"cervical artery dissection"	3	3	0	50
"282"	"cervical carcinoma"	5	3	2	62.5
"283"	"cesarean section, intelligence"	1	1	0	50
"284"	"chemokine (C-C motif) ligand 27 measurement"	2	0	2	100
"285"	"chemotherapy-induced alopecia, response to antimicrotubule agent"	1	1	0	50
"286"	"chemotherapy-induced alopecia, response to docetaxel"	1	1	0	50
"287"	"chemotherapy-induced alopecia, response to paclitaxel"	1	0	1	100
"288"	"Child Behaviour Checklist assessment"	1	0	1	100
"289"	"childhood aggressive behaviour measurement"	3	2	1	60
"290"	"childhood cancer, cardiotoxicity, response to anthracycline-based chemotherapy"	2	2	0	50
"291"	"childhood onset asthma"	13	7	6	65
"292"	"childhood onset asthma, age at onset, environmental tobacco smoke exposure measurement"	2	2	0	50
"293"	"cholesterol efflux capacity measurement"	6	4	2	60
"294"	"cholesteryl ester transfer protein measurement"	2	1	1	66.6666666666667
"295"	"chronic hepatitis B virus infection"	8	7	1	53.3333333333333
"296"	"chronic hepatitis C virus infection"	10	7	3	58.8235294117647
"297"	"chronic hepatitis C virus infection, response to interferon, depressive symptom measurement"	1	1	0	50
"298"	"chronic kidney disease"	13	6	7	68.4210526315789
"299"	"chronic kidney disease, serum metabolite measurement"	96	94	2	50.5263157894737
"300"	"chronic kidney disease, urinary metabolite measurement"	41	19	22	68.3333333333333
"301"	"chronic lymphocytic leukemia"	38	22	16	63.3333333333333
"302"	"chronic mucus hypersecretion"	1	0	1	100
"303"	"chronic myelogenous leukemia"	1	1	0	50
"304"	"chronic obstructive pulmonary disease"	30	17	13	63.8297872340426
"305"	"chronic obstructive pulmonary disease, body mass index"	1	0	1	100
"306"	"chronic obstructive pulmonary disease, C-reactive protein measurement"	2	1	1	66.6666666666667
"307"	"chronic obstructive pulmonary disease, CC16 measurement"	3	3	0	50
"308"	"chronic obstructive pulmonary disease, chronic bronchitis"	3	3	0	50
"309"	"chronic obstructive pulmonary disease, fibrinogen measurement"	1	1	0	50
"310"	"chronic obstructive pulmonary disease, smoking behaviour measurement"	2	0	2	100
"311"	"chronic obstructive pulmonary disease, smoking initiation"	2	0	2	100
"312"	"chronic obstructive pulmonary disease, surfactant protein D measurement"	3	3	0	50
"313"	"chronic rhinosinusitis"	1	1	0	50
"314"	"chronic rhinosinusitis with nasal polyps"	1	1	0	50
"315"	"chronotype measurement"	62	34	28	64.5833333333333
"316"	"cigarettes per day measurement"	20	15	5	57.1428571428571
"317"	"circadian rhythm"	4	1	3	80
"318"	"circulating cell free DNA measurement"	1	1	0	50
"319"	"cis/trans-18:2 fatty acid measurement, trans fatty acid measurement"	34	29	5	53.968253968254
"320"	"cleft lip"	4	4	0	50
"321"	"Cleft palate"	5	5	0	50
"322"	"Cleft palate, cleft lip"	8	6	2	57.1428571428571
"323"	"Cleft palate, sex interaction measurement, cleft lip"	2	0	2	100
"324"	"clinical ideal cardiovascular health"	1	1	0	50
"325"	"clonal hematopoiesis"	2	1	1	66.6666666666667
"326"	"clostridium difficile infection, response to bezlotoxumab"	1	1	0	50
"327"	"coagulation factor measurement"	11	3	8	78.5714285714286
"328"	"coagulation factor V measurement"	1	1	0	50
"329"	"coffee consumption"	8	7	1	53.3333333333333
"330"	"coffee consumption measurement"	16	9	7	64
"331"	"coffee consumption measurement, tea consumption measurement"	6	4	2	60
"332"	"coffee consumption, cups of coffee per day measurement"	4	2	2	66.6666666666667
"333"	"cognitive decline measurement"	2	2	0	50
"334"	"cognitive decline measurement, Cognitive impairment"	14	0	14	100
"335"	"cognitive decline measurement, disease progression measurement, Cognitive impairment"	1	1	0	50
"336"	"cognitive function measurement"	47	23	24	67.1428571428572
"337"	"cognitive function measurement, self reported educational attainment"	23	6	17	79.3103448275862
"338"	"cognitive inhibition measurement"	1	1	0	50
"339"	"colon carcinoma"	2	1	1	66.6666666666667
"340"	"Colonic diverticula"	1	0	1	100
"341"	"colorectal cancer"	130	85	45	60.4651162790698
"342"	"colorectal cancer, colorectal adenoma"	18	12	6	60
"343"	"colorectal cancer, colorectal mucinous adenocarcinoma"	3	3	0	50
"344"	"colorectal cancer, endometrial neoplasm"	2	1	1	66.6666666666667
"345"	"common carotid intimal medial thickness"	3	2	1	60
"346"	"comparative body size at age 10, self-reported"	38	20	18	65.5172413793103
"347"	"complement C3 measurement"	1	1	0	50
"348"	"complement C4 measurement"	4	2	2	66.6666666666667
"349"	"complement factor B measurement"	1	1	0	50
"350"	"complement factor H-related protein 5 measurement"	1	1	0	50
"351"	"comprehensive strength index, muscle measurement"	2	2	0	50
"352"	"conduct disorder"	1	0	1	100
"353"	"conscientiousness measurement"	1	1	0	50
"354"	"Corneal astigmatism"	4	0	4	100
"355"	"corneal topography"	29	18	11	61.7021276595745
"356"	"coronary artery calcification"	4	4	0	50
"357"	"coronary artery disease"	193	110	83	63.6963696369637
"358"	"coronary atherosclerosis measurement, traffic air pollution measurement"	1	0	1	100
"359"	"cortical surface area measurement"	16	4	12	80
"360"	"cortical thickness"	2	1	1	66.6666666666667
"361"	"cortisol measurement"	1	0	1	100
"362"	"cotinine glucuronidation measurement"	5	0	5	100
"363"	"COVID-19"	3	3	0	50
"364"	"creatinine measurement"	10	6	4	62.5
"365"	"creatinine measurement, chronic kidney disease"	10	5	5	66.6666666666667
"366"	"creatinine measurement, glomerular filtration rate"	34	22	12	60.7142857142857
"367"	"creativity measurement"	1	0	1	100
"368"	"Crohn's disease"	134	77	57	63.5071090047393
"369"	"Crohn's disease, disease prognosis measurement"	1	1	0	50
"370"	"cup-to-disc ratio measurement"	35	22	13	61.4035087719298
"371"	"cup-to-disc ratio measurement, optic cup area measurement, optic disc area measurement"	2	1	1	66.6666666666667
"372"	"cups of coffee per day measurement"	5	4	1	55.5555555555556
"373"	"cutaneous lupus erythematosus"	1	1	0	50
"374"	"cutaneous melanoma"	7	5	2	58.3333333333333
"375"	"cutaneous melanoma, hair color"	4	0	4	100
"376"	"cutaneous psoriasis measurement, psoriasis"	3	2	1	60
"377"	"cutaneous squamous cell carcinoma"	5	5	0	50
"378"	"cystatin C measurement, chronic kidney disease"	1	1	0	50
"379"	"Cystic fibrosis"	1	0	1	100
"380"	"Cystic fibrosis, lung disease severity measurement"	3	3	0	50
"381"	"Cystic fibrosis, type II diabetes mellitus"	1	0	1	100
"382"	"D dimer measurement"	3	2	1	60
"383"	"daytime rest measurement"	2	1	1	66.6666666666667
"384"	"delta-6 desaturase measurement"	3	3	0	50
"385"	"Dementia, Alzheimer's disease neuropathologic change"	2	2	0	50
"386"	"dense area measurement, mammographic density measurement"	4	0	4	100
"387"	"dental caries, dentures"	4	3	1	57.1428571428571
"388"	"dentures"	4	3	1	57.1428571428571
"389"	"depressive symptom measurement"	11	7	4	61.1111111111111
"390"	"dermatomyositis"	1	1	0	50
"391"	"developmental dysplasia of the hip"	3	3	0	50
"392"	"diabetic nephropathy"	2	0	2	100
"393"	"diabetic retinopathy"	8	4	4	66.6666666666667
"394"	"diabetic retinopathy, type II diabetes mellitus"	1	0	1	100
"395"	"diastolic blood pressure"	191	111	80	63.2450331125828
"396"	"diastolic blood pressure change measurement, hypertension"	1	1	0	50
"397"	"diastolic blood pressure, alcohol consumption measurement"	5	1	4	83.3333333333333
"398"	"diastolic blood pressure, alcohol drinking"	6	5	1	54.5454545454545
"399"	"diastolic blood pressure, blood pressure, age at assessment"	1	1	0	50
"400"	"diastolic blood pressure, response to cold pressor test"	1	1	0	50
"401"	"diastolic blood pressure, response to high sodium diet, response to dietary potassium supplementation"	1	1	0	50
"402"	"dickkopf***related protein 1 measurement"	1	1	0	50
"403"	"diet measurement, bilirubin measurement, metabolic syndrome"	7	5	2	58.3333333333333
"404"	"diet measurement, fasting blood insulin measurement"	4	4	0	50
"405"	"diet measurement, HOMA-B"	2	2	0	50
"406"	"diet measurement, HOMA-IR"	4	4	0	50
"407"	"diffuse plaque measurement"	1	0	1	100
"408"	"diffusing capacity of the lung for carbon monoxide"	4	2	2	66.6666666666667
"409"	"digestive system infectious disease"	2	1	1	66.6666666666667
"410"	"digit length ratio"	12	8	4	60
"411"	"diglyceride measurement"	2	0	2	100
"412"	"dihomo-gamma-linolenic acid measurement"	3	3	0	50
"413"	"dihydroxy docosatrienoic acid measurement"	1	0	1	100
"414"	"disease progression measurement, Crohn's disease"	1	1	0	50
"415"	"disposition index measurement"	1	1	0	50
"416"	"Diuretic use measurement"	3	3	0	50
"417"	"diverticular disease"	2	1	1	66.6666666666667
"418"	"diverticulitis"	1	0	1	100
"419"	"DNA methylation"	7	1	6	87.5
"420"	"docosahexaenoic acid measurement"	2	1	1	66.6666666666667
"421"	"docosahexaenoic acid measurement, metabolic syndrome"	1	1	0	50
"422"	"docosapentaenoic acid measurement"	12	10	2	54.5454545454545
"423"	"drinking behavior"	1	0	1	100
"424"	"Drug-induced agranulocytosis, response to clozapine"	2	2	0	50
"425"	"drug-Induced dyskinesia, Parkinson's disease, response to levodopa"	1	1	0	50
"426"	"drug dependence"	2	1	1	66.6666666666667
"427"	"drug use measurement, depressive symptom measurement, SSRI use measurement"	1	1	0	50
"428"	"Drugs affecting bone structure and mineralization use measurement"	1	0	1	100
"429"	"Drugs used in diabetes use measurement"	6	4	2	60
"430"	"dual specificity mitogen-activated protein kinase kinase 4 measurement"	1	1	0	50
"431"	"duodenal ulcer"	1	1	0	50
"432"	"Dupuytren Contracture"	4	3	1	57.1428571428571
"433"	"dynein light chain roadblock-type 1 measurement"	1	1	0	50
"434"	"e-selectin measurement"	6	6	0	50
"435"	"early cardiac repolarization measurement"	1	1	0	50
"436"	"eating disorder"	5	0	5	100
"437"	"economic and social preference"	27	15	12	64.2857142857143
"438"	"Eczema, allergic rhinitis"	19	10	9	65.5172413793103
"439"	"Eczema, allergic rhinitis, asthma"	11	6	5	64.7058823529412
"440"	"eicosapentaenoic acid measurement"	10	9	1	52.6315789473684
"441"	"electrocardiography"	727	299	428	70.8576998050682
"442"	"electrocardiography, PR interval"	2	1	1	66.6666666666667
"443"	"electroencephalogram measurement"	2	1	1	66.6666666666667
"444"	"empathy measurement"	4	0	4	100
"445"	"emphysema"	4	1	3	80
"446"	"emphysema imaging measurement"	12	5	7	70.5882352941176
"447"	"emphysema imaging measurement, smoking status measurement"	5	1	4	83.3333333333333
"448"	"emphysema pattern measurement"	15	3	12	83.3333333333333
"449"	"endoglin measurement"	1	1	0	50
"450"	"endometrial carcinoma"	5	3	2	62.5
"451"	"endometrial endometrioid carcinoma"	1	0	1	100
"452"	"endometrial neoplasm"	1	0	1	100
"453"	"endometriosis"	20	14	6	58.8235294117647
"454"	"endometriosis, migraine disorder"	2	0	2	100
