"DISEASE.TRAIT"	"risk_count"	"risk_1"	"risk_count_2"	"overall_risk_d * 100"
"55"	"Alanine aminotransferase (ALT) levels after remission induction therapy in actute lymphoblastic leukemia (ALL)"	2	1	1	66.6666666666667
"56"	"Alanine aminotransferase levels"	21	8	13	72.4137931034483
"57"	"Alanine aminotransferase levels in non-alcoholic fatty liver disease"	1	1	0	50
"58"	"Albuminuria"	1	1	0	50
"59"	"Alcohol and nicotine co-dependence"	2	2	0	50
"60"	"Alcohol consumption"	11	8	3	57.8947368421053
"61"	"Alcohol consumption (drinkers vs non-drinkers)"	1	1	0	50
"62"	"Alcohol consumption (drinks per week)"	21	15	6	58.3333333333333
"63"	"Alcohol consumption (drinks per week) (MTAG)"	16	10	6	61.5384615384615
"64"	"Alcohol consumption (heavy vs. light/non-drinkers)"	1	0	1	100
"65"	"Alcohol consumption (max-drinks)"	1	0	1	100
"66"	"Alcohol consumption (transferrin glycosylation)"	3	3	0	50
"67"	"Alcohol consumption in current drinkers"	1	1	0	50
"68"	"Alcohol dependence"	9	4	5	69.2307692307692
"69"	"Alcohol dependence (age at onset)"	5	2	3	71.4285714285714
"70"	"Alcohol dependence symptom count"	1	0	1	100
"71"	"Alcohol use disorder"	3	1	2	75
"72"	"Alcohol use disorder (consumption score)"	5	2	3	71.4285714285714
"73"	"Alcohol use disorder (dependence and problematic use scores)"	1	1	0	50
"74"	"Alcohol use disorder (total score)"	3	2	1	60
"75"	"Alcoholism (12-month weekly alcohol consumption)"	1	1	0	50
"76"	"Alcoholism (alcohol dependence factor score)"	3	0	3	100
"77"	"Alcoholism (alcohol use disorder factor score)"	3	0	3	100
"78"	"Alcoholism (heaviness of drinking)"	1	1	0	50
"79"	"Allergic disease (asthma, hay fever and/or eczema) (age of onset)"	6	5	1	54.5454545454545
"80"	"Allergic disease (asthma, hay fever and/or eczema) (multivariate analysis)"	7	6	1	53.8461538461539
"81"	"Allergic disease (asthma, hay fever or eczema)"	26	14	12	65
"82"	"Allergic rhinitis"	4	4	0	50
"83"	"Allergic sensitization"	11	5	6	68.75
"84"	"Alopecia areata"	7	6	1	53.8461538461539
"85"	"Alzheimer's disease"	19	9	10	67.8571428571429
"86"	"Alzheimer's disease (late onset)"	26	15	11	63.4146341463415
"87"	"Alzheimer's disease (onset at age over 80)"	1	1	0	50
"88"	"Alzheimer's disease (onset between ages 58 and 79)"	5	4	1	55.5555555555556
"89"	"Alzheimer's disease biomarkers"	2	2	0	50
"90"	"Alzheimer's disease in APOE e4- carriers"	6	3	3	66.6666666666667
"91"	"Alzheimer's disease in APOE e4+ carriers"	5	3	2	62.5
"92"	"Alzheimer's disease or family history of Alzheimer's disease"	12	9	3	57.1428571428571
"93"	"Alzheimer disease and age of onset"	8	2	6	80
"94"	"Amino acid levels"	2	0	2	100
"95"	"Amyloid A serum levels"	1	1	0	50
"96"	"Amyotrophic lateral sclerosis"	11	8	3	57.8947368421053
"97"	"Amyotrophic lateral sclerosis (age of onset)"	1	1	0	50
"98"	"Androgen levels"	1	0	1	100
"99"	"Angiopoietin-1 receptor levels"	2	2	0	50
"100"	"Ankle injury"	1	1	0	50
"101"	"Ankylosing spondylitis"	37	26	11	58.7301587301587
"102"	"Anorexia nervosa"	6	2	4	75
"103"	"Anthracycline-induced cardiotoxicity in childhood cancer"	2	2	0	50
"104"	"Anthropometric traits"	3	3	0	50
"105"	"Anthropometric traits in newborns"	4	4	0	50
"106"	"Anti-herpes simplex virus 6 IE1A IgG seropositivity"	1	0	1	100
"107"	"Anti-thyroid peroxidase (TPOAb) and anti-thyroglobulin (TgAb) levels in Hashimoto's thyroiditis"	4	2	2	66.6666666666667
"108"	"Anti-thyroid peroxidase (TPOAb) levels in Hashimoto's thyroiditis"	2	0	2	100
"109"	"Antibody level in response to infection"	1	1	0	50
"110"	"Anticoagulant levels"	1	1	0	50
"111"	"Antineutrophil cytoplasmic antibody-associated vasculitis"	1	1	0	50
"112"	"Antipsychotic drug-induced QTc interval change in schizophrenia"	2	1	1	66.6666666666667
"113"	"antipsychotic drug dosage in schizophrenia or schizoaffective disorder"	1	1	0	50
"114"	"Antisaccade task score"	1	1	0	50
"115"	"Anxiety and major depressive disorder"	1	1	0	50
"116"	"Anxiety disorder"	1	1	0	50
"117"	"Anxiety/tension (special factor of neuroticism)"	2	2	0	50
"118"	"Aortic-valve calcification"	1	1	0	50
"119"	"Aortic root size"	3	3	0	50
"120"	"Aortic valve stenosis"	2	2	0	50
"121"	"Apolipoprotein A1 levels"	47	18	29	72.3076923076923
"122"	"Apolipoprotein B levels"	46	17	29	73.015873015873
"123"	"Apolipoprotein Levels"	3	3	0	50
"124"	"Appendicular lean mass"	75	36	39	67.5675675675676
"125"	"AR-C124910XX levels in individuals with acute coronary syndromes treated with ticagrelor"	1	0	1	100
"126"	"Arterial stiffness index"	1	0	1	100
"127"	"Arthritis (juvenile idiopathic)"	4	2	2	66.6666666666667
"128"	"Aseptic loosening in total joint arthroplasty"	1	1	0	50
"129"	"Aspartate aminotransferase levels"	18	11	7	62.0689655172414
"130"	"Aspirin exacerbated respiratory disease in asthmatics"	1	1	0	50
"131"	"Aspirin hydrolysis (plasma)"	1	1	0	50
"132"	"Asthma"	113	54	59	67.6646706586826
"133"	"Asthma (adult onset)"	4	3	1	57.1428571428571
"134"	"Asthma (age of onset)"	6	4	2	60
"135"	"Asthma (bronchodilator response)"	2	1	1	66.6666666666667
"136"	"Asthma (childhood onset)"	13	7	6	65
"137"	"Asthma (moderate or severe)"	3	1	2	75
"138"	"Asthma (time to childhood onset) x early life tobacco smoke interaction"	2	2	0	50
"139"	"Asthma (time to onset)"	2	1	1	66.6666666666667
"140"	"Asthma and hay fever"	6	2	4	75
"141"	"Asthma exacerbations in inhaled corticosteroid treatment"	3	1	2	75
"142"	"Asthma onset (childhood vs adult)"	8	6	2	57.1428571428571
"143"	"Atopic dermatitis"	17	10	7	62.962962962963
"144"	"Atrial fibrillation"	60	19	41	75.9493670886076
"145"	"Atrial fibrillation/atrial flutter"	1	0	1	100
"146"	"Atrioventricular conduction"	2	2	0	50
"147"	"Attention deficit hyperactivity disorder"	3	2	1	60
"148"	"Attention deficit hyperactivity disorder (childhood)"	2	1	1	66.6666666666667
"149"	"Attention deficit hyperactivity disorder (combined symptoms)"	2	2	0	50
"150"	"Attention deficit hyperactivity disorder (hyperactivity-impulsivity symptoms)"	4	2	2	66.6666666666667
"151"	"Attention deficit hyperactivity disorder (inattention symptoms)"	2	2	0	50
"152"	"Attention deficit hyperactivity disorder (time to onset)"	3	2	1	60
"153"	"Attention deficit hyperactivity disorder and conduct disorder"	7	4	3	63.6363636363636
"154"	"Attention deficit hyperactivity disorder or cannabis use"	5	4	1	55.5555555555556
"155"	"Attention deficit hyperactivity disorder symptoms (maternal expressed emotions interaction)"	1	1	0	50
"156"	"Attention function in attention deficit hyperactive disorder"	4	2	2	66.6666666666667
"157"	"Atypical femoral fracture in phosphonate treatment"	1	1	0	50
"158"	"Autism"	1	1	0	50
"159"	"Autism and educational attainment (MTAG)"	1	0	1	100
"160"	"Autism and major depressive disorder (MTAG)"	1	1	0	50
"161"	"Autism spectrum disorder"	4	2	2	66.6666666666667
"162"	"Autism spectrum disorder or schizophrenia"	19	12	7	61.2903225806452
"163"	"Autism spectrum disorder, attention deficit-hyperactivity disorder, bipolar disorder, major depressive disorder, and schizophrenia (combined)"	18	10	8	64.2857142857143
"164"	"Autoimmune thyroid disease"	15	10	5	60
"165"	"Autoimmune thyroid diseases (Graves disease or Hashimoto's thyroiditis)"	1	1	0	50
"166"	"Autoimmune traits"	1	1	0	50
"167"	"Autoimmune traits (pleiotropy)"	5	3	2	62.5
"168"	"Automobile speeding propensity"	1	0	1	100
"169"	"Axial length"	1	0	1	100
"170"	"B-cell malignancies (chronic lymphocytic leukemia, Hodgkin lymphoma or multiple myeloma) (pleiotropy)"	3	1	2	75
"171"	"B cell acute lymphoblastic leukaemia (hyperdiploid negative)"	1	1	0	50
"172"	"B cell acute lymphoblastic leukaemia (normal cytogenetics)"	1	1	0	50
"173"	"B cell acute lymphoblastic leukaemia (Philadelphia chromosome negative)"	1	1	0	50
"174"	"B cell non-Hodgkin lymphoma"	1	1	0	50
"175"	"Barrett's esophagus"	3	1	2	75
"176"	"Barrett's esophagus  or Esophageal adenocarcinoma"	1	0	1	100
"177"	"Basal cell carcinoma"	35	19	16	64.8148148148148
"178"	"Basophil count"	31	18	13	63.265306122449
"179"	"Basophil percentage of granulocytes"	5	4	1	55.5555555555556
"180"	"Basophil percentage of white cells"	14	6	8	70
"181"	"Behcet's disease"	3	2	1	60
"182"	"Benign prostatic hyperplasia and lower urinary tract symptoms"	2	1	1	66.6666666666667
"183"	"Benign prostatic hyperplasia and lower urinary tract symptoms (prostate cancer excluded)"	1	0	1	100
"184"	"Beta-2 microglubulin plasma levels"	3	2	1	60
"185"	"Betaine levels in individuals undergoing cardiac evaluation"	1	0	1	100
"186"	"Bilirubin levels"	8	8	0	50
"187"	"Binge eating behaviour and bipolar disorder"	1	1	0	50
"188"	"Bioavailable testosterone levels"	39	14	25	73.5849056603774
"189"	"Biochemical measures"	3	1	2	75
"190"	"Biomedical quantitative traits"	4	3	1	57.1428571428571
"191"	"Bipolar disorder"	33	22	11	60
"192"	"Bipolar disorder and schizophrenia"	2	1	1	66.6666666666667
"193"	"Bipolar disorder lithium response (categorical) or schizophrenia"	1	0	1	100
"194"	"Bipolar disorder lithium response (continuous) or schizophrenia"	1	0	1	100
"195"	"Bipolar disorder or attention deficit hyperactivity disorder"	1	0	1	100
"196"	"Bipolar disorder or body mass index"	3	2	1	60
"197"	"Bipolar disorder or major depressive disorder"	6	4	2	60
"198"	"Bipolar disorder with mood-incongruent psychosis"	1	0	1	100
"199"	"Bipolar I disorder"	6	4	2	60
"200"	"Birth length"	2	2	0	50
"201"	"Birth length (MTAG)"	7	5	2	58.3333333333333
"202"	"Birth weight"	53	33	20	61.6279069767442
"203"	"Birth weight (MTAG)"	10	6	4	62.5
"204"	"Bisphosphonate-associated atypical femoral fracture"	2	2	0	50
"205"	"Bitter alcoholic beverage consumption"	10	5	5	66.6666666666667
"206"	"Bitter beverage consumption"	5	2	3	71.4285714285714
"207"	"Bitter non-alcoholic beverage consumption"	3	2	1	60
"208"	"Bitter taste perception (6-n-propylthiouracil) in obesity with metabolic syndrome"	2	2	0	50
"209"	"Bitter taste perception (phenylthiocarbamide) in obesity with metabolic syndrome"	2	2	0	50
"210"	"BK polyomavirus VP1 antibody levels"	1	1	0	50
"211"	"Black vs. blond hair color"	4	2	2	66.6666666666667
"212"	"Black vs. red hair color"	3	2	1	60
"213"	"Bladder cancer"	18	7	11	72
"214"	"Blond vs. brown hair color"	2	2	0	50
"215"	"Blond vs. brown/black hair color"	8	5	3	61.5384615384615
"216"	"Blood and toenail selenium levels"	8	7	1	53.3333333333333
"217"	"Blood glucose levels"	3	1	2	75
"218"	"Blood metabolite levels"	152	83	69	64.6808510638298
"219"	"Blood metabolite ratios"	32	21	11	60.377358490566
"220"	"Blood osmolality (transformed sodium)"	3	1	2	75
"221"	"Blood pressure"	39	26	13	60
"222"	"Blood pressure (age interaction)"	2	2	0	50
"223"	"Blood pressure measurement (cold pressor test)"	3	3	0	50
"224"	"Blood pressure measurement (high sodium and potassium intervention)"	2	2	0	50
"225"	"Blood protein levels"	426	252	174	62.8318584070797
"226"	"Blood protein levels in cardiovascular risk"	13	6	7	68.4210526315789
"227"	"Blood trace element (Se levels)"	1	1	0	50
"228"	"Blood urea nitrogen levels"	17	10	7	62.962962962963
"229"	"Blue vs. green eyes"	1	1	0	50
"230"	"BMI (adjusted for smoking behaviour)"	100	54	46	64.9350649350649
"231"	"BMI at adiposity rebound"	1	1	0	50
"232"	"BMI in non-smokers"	75	39	36	65.7894736842105
"233"	"BMI in smokers"	24	13	11	64.8648648648649
"234"	"Body fat distribution (arm fat ratio)"	12	6	6	66.6666666666667
"235"	"Body fat distribution (leg fat ratio)"	22	18	4	55
"236"	"Body fat distribution (trunk fat ratio)"	23	17	6	57.5
"237"	"Body fat mass"	1	0	1	100
"238"	"Body fat percentage"	16	8	8	66.6666666666667
"239"	"Body mass (lean)"	1	0	1	100
"240"	"Body mass in chronic obstructive pulmonary disease"	1	0	1	100
"241"	"Body mass index"	881	523	358	62.7492877492878
"242"	"Body mass index (adult)"	15	11	4	57.6923076923077
"243"	"Body mass index (age <50)"	5	2	3	71.4285714285714
"244"	"Body mass index (age interaction)"	2	1	1	66.6666666666667
"245"	"Body mass index (age>50)"	4	2	2	66.6666666666667
"246"	"Body mass index (ever vs never smoking interaction)"	1	1	0	50
"247"	"Body mass index (joint analysis main effects and smoking interaction)"	95	52	43	64.6258503401361
"248"	"Body mass index (SNP x SNP interaction)"	5	2	3	71.4285714285714
"249"	"Body mass index in asthmatics"	1	1	0	50
"250"	"Body mass index in physically active individuals"	63	43	20	59.4339622641509
"251"	"Body mass index in physically inactive individuals"	26	20	6	56.5217391304348
"252"	"Body mass index x age interaction"	4	2	2	66.6666666666667
"253"	"Body mass index x sex x age interaction (4df test)"	6	2	4	75
"254"	"Body size at age 10"	38	20	18	65.5172413793103
"255"	"Bone mineral content"	5	5	0	50
"256"	"Bone mineral density"	17	15	2	53.125
"257"	"Bone mineral density (hip)"	19	16	3	54.2857142857143
"258"	"Bone mineral density (hip) and age at menarche"	1	1	0	50
"259"	"Bone mineral density (hip) and hip bone size"	3	0	3	100
"260"	"Bone mineral density (paediatric, lower limb)"	9	5	4	64.2857142857143
"261"	"Bone mineral density (paediatric, skull)"	11	5	6	68.75
"262"	"Bone mineral density (paediatric, total body less head)"	11	8	3	57.8947368421053
"263"	"Bone mineral density (paediatric, upper limb)"	8	4	4	66.6666666666667
"264"	"Bone mineral density (spine)"	23	16	7	58.974358974359
"265"	"Bone mineral density (total hip)"	1	1	0	50
"266"	"Bone properties (heel)"	10	6	4	62.5
"267"	"Bone ultrasound measurement (broadband ultrasound attenuation)"	1	1	0	50
"268"	"Bone ultrasound measurement (velocity of sound)"	3	3	0	50
"269"	"Borderline personality disorder"	2	1	1	66.6666666666667
"270"	"Brain structure"	1	1	0	50
"271"	"Brain structure (hippocampal volume)"	3	3	0	50
"272"	"Brain structure (temporal lobe volume)"	2	0	2	100
"273"	"Brain volume in infants (white matter)"	1	0	1	100
"274"	"Brainstem volume"	1	1	0	50
"275"	"Branched-chain amino acid levels (Leucine)"	1	1	0	50
"276"	"Branched-chain amino acid levels (Valine)"	1	1	0	50
"277"	"BRCA1/2-negative high-risk breast cancer"	3	0	3	100
"278"	"Breast cancer"	284	138	146	67.2985781990521
"279"	"Breast cancer (estrogen-receptor negative)"	24	12	12	66.6666666666667
"280"	"Breast cancer (estrogen-receptor negative, progesterone-receptor negative, and human epidermal growth factor-receptor negative)"	1	0	1	100
"281"	"Breast cancer (estrogen-receptor positive)"	1	0	1	100
"282"	"Breast cancer (survival)"	3	0	3	100
"283"	"Breast Cancer in BRCA1 mutation carriers"	5	1	4	83.3333333333333
"284"	"Breast cancer in BRCA2 mutation carriers"	1	1	0	50
"285"	"Breast cancer in childhood cancer survivors treated with more than 10 gray radiotherapy"	1	0	1	100
"286"	"Breast milk fatty acid composition (infant genotype effect)"	2	1	1	66.6666666666667
"287"	"Breast milk fatty acid composition (maternal genotype effect)"	3	1	2	75
"288"	"Breast size"	6	6	0	50
"289"	"Broad depression or bipolar disorder"	1	0	1	100
"290"	"Broad depression or major depressive disorder (self-reported)"	1	0	1	100
"291"	"Broad depression or schizophrenia"	5	3	2	62.5
"292"	"Bronchopulmonary dysplasia"	1	1	0	50
"293"	"Bronchopulmonary dysplasia in preterm infants"	1	1	0	50
"294"	"Brown vs. black hair color"	3	3	0	50
"295"	"Brugada syndrome"	1	1	0	50
"296"	"Bulimia nervosa"	2	1	1	66.6666666666667
"297"	"Butyrylcholinesterase levels"	2	2	0	50
"298"	"C-C motif chemokine 20 levels"	1	0	1	100
"299"	"C-C motif chemokine 3 levels"	1	1	0	50
"300"	"C-peptide levels in type I diabetes"	1	1	0	50
"301"	"C-reactive protein"	11	5	6	68.75
"302"	"C-reactive protein and white blood cell count"	4	1	3	80
"303"	"C-reactive protein levels"	115	41	74	73.7179487179487
"304"	"C-reactive protein levels or HDL-cholesterol levels (pleiotropy)"	9	4	5	69.2307692307692
"305"	"C-reactive protein levels or LDL-cholesterol levels (pleiotropy)"	4	2	2	66.6666666666667
"306"	"C-reactive protein levels or total cholesterol levels (pleiotropy)"	6	1	5	85.7142857142857
"307"	"C-reactive protein levels or triglyceride levels (pleiotropy)"	8	5	3	61.5384615384615
"308"	"C-X-C motif chemokine 6 levels"	1	1	0	50
"309"	"Caffeine consumption"	3	2	1	60
"310"	"Caffeine consumption from coffee"	6	4	2	60
"311"	"Caffeine consumption from coffee or tea"	6	4	2	60
"312"	"Caffeine consumption from tea"	3	2	1	60
"313"	"Caffeine metabolism (plasma 1,3-dimethylxanthine (theophylline) level)"	2	2	0	50
"314"	"Caffeine metabolism (plasma 1,3,7-trimethylxanthine (caffeine) level)"	4	4	0	50
"315"	"Caffeine metabolism (plasma 1,7-dimethylxanthine (paraxanthine) to 1,3,7-trimethylxanthine (caffeine) ratio)"	4	4	0	50
"316"	"Calcific aortic valve stenosis"	1	1	0	50
"317"	"Calcium levels"	8	5	3	61.5384615384615
"318"	"Cancer"	2	1	1	66.6666666666667
"319"	"Cancer (pleiotropy)"	15	7	8	68.1818181818182
"320"	"Cancer (pleiotropy)(bidirectional)"	3	1	2	75
"321"	"Cannabis dependence symptom count"	2	0	2	100
"322"	"Cannabis use (age at onset)"	1	1	0	50
"323"	"Cannabis use (initiation)"	3	2	1	60
"324"	"Cardiac structure and function"	1	1	0	50
"325"	"Cardiac Troponin-T levels"	2	1	1	66.6666666666667
"326"	"Cardiovascular disease risk factors"	4	4	0	50
"327"	"Cardiovascular heart disease in diabetics"	1	0	1	100
"328"	"Cardiovascular risk factors (age interaction)"	1	0	1	100
"329"	"Carotenoid and tocopherol levels"	1	0	1	100
"330"	"Carotid intima media thickness"	3	3	0	50
"331"	"Carotid intima media thickness (mean-maximum)"	1	0	1	100
"332"	"Carotid intima media thickness x smoking interaction"	3	1	2	75
"333"	"Carotid plaque"	1	0	1	100
"334"	"Carotid plaque burden"	1	1	0	50
"335"	"Carotid plaques in rheumatoid arthritis"	1	0	1	100
"336"	"Carpal tunnel syndrome"	1	1	0	50
"337"	"Cathepsin D levels"	2	2	0	50
"338"	"Cathepsin L1 levels"	2	2	0	50
"339"	"Caudate nucleus volume"	3	1	2	75
"340"	"CCL19 levels"	1	1	0	50
"341"	"CCL25 levels"	1	1	0	50
"342"	"Celiac disease"	11	8	3	57.8947368421053
"343"	"Celiac disease or Rheumatoid arthritis"	4	3	1	57.1428571428571
"344"	"Central corneal thickness"	12	5	7	70.5882352941176
"345"	"Central retinal vein equivalent"	1	1	0	50
"346"	"Ceramide levels"	1	1	0	50
"347"	"Cerebral amyloid angiopathy"	1	0	1	100
"348"	"Cerebral amyloid deposition (PET imaging)"	8	5	3	61.5384615384615
"349"	"Cerebrospinal fluid AB1-42 levels"	4	2	2	66.6666666666667
"350"	"Cerebrospinal fluid biomarker levels"	1	0	1	100
"351"	"Cerebrospinal fluid levels of Alzheimer's disease-related proteins"	3	1	2	75
"352"	"Cerebrospinal fluid t-tau:AB1-42 ratio"	1	0	1	100
"353"	"Cerebrospinal P-tau181p levels"	1	1	0	50
"354"	"Cerebrospinal T-tau levels"	4	2	2	66.6666666666667
"355"	"Cerivastatin-induced rhabdomyolysis"	1	0	1	100
"356"	"Cervical artery dissection"	3	3	0	50
"357"	"Cervical cancer"	5	3	2	62.5
"358"	"Change in glucose in response to thiazide diuretic treatment in hypertension"	1	1	0	50
"359"	"Change in intraocular pressure in response to steroid treatment (triamcinolone acetonide)"	1	1	0	50
"360"	"Childhood and early adolescence aggressive behavior"	1	0	1	100
"361"	"Childhood body mass index"	23	16	7	58.974358974359
"362"	"Childhood obesity"	2	2	0	50
"363"	"Childhood onset ulcerative colitis"	1	1	0	50
"364"	"Childhood steroid-sensitive nephrotic syndrome"	1	1	0	50
"365"	"Chitinase-3-like protein 1 levels"	1	1	0	50
"366"	"Chlamydia trachomatis PorB antibody levels"	1	0	1	100
"367"	"Cholesterol"	4	3	1	57.1428571428571
"368"	"Cholesterol efflux capacity"	2	1	1	66.6666666666667
"369"	"Cholesterol efflux capacity (ABCA-1 dependent assay)"	1	1	0	50
"370"	"Cholesterol efflux capacity (BHK stimulated assay)"	1	1	0	50
"371"	"Cholesterol efflux capacity (cAMP stimulated assay)"	2	1	1	66.6666666666667
"372"	"Cholesterol, total"	80	61	19	56.7375886524823
"373"	"Cholesteryl ester levels"	3	3	0	50
"374"	"Cholesteryl ester transfer protein levels"	2	1	1	66.6666666666667
"375"	"Chronic bronchitis and chronic obstructive pulmonary disease"	3	3	0	50
"376"	"Chronic hepatitis B infection"	8	7	1	53.3333333333333
"377"	"Chronic hepatitis C infection"	1	1	0	50
"378"	"Chronic kidney disease"	22	12	10	64.7058823529412
"379"	"Chronic kidney disease (severe chronic kidney disease vs normal kidney function) in type 1 diabetes"	1	1	0	50
"380"	"Chronic lymphocytic leukemia"	38	22	16	63.3333333333333
"381"	"Chronic mucus hypersecretion"	1	0	1	100
"382"	"Chronic myeloid leukemia"	1	1	0	50
"383"	"Chronic obstructive pulmonary disease"	20	10	10	66.6666666666667
"384"	"Chronic obstructive pulmonary disease-related biomarkers"	12	10	2	54.5454545454545
"385"	"Chronic obstructive pulmonary disease (moderate to severe)"	4	3	1	57.1428571428571
"386"	"Chronic obstructive pulmonary disease (severe)"	6	4	2	60
"387"	"Chronic rhinosinusitis"	1	1	0	50
"388"	"Chronic rhinosinusitis with nasal polyps"	1	1	0	50
"389"	"Chronotype"	34	19	15	64.1509433962264
"390"	"Chronotype (sMEQ score)"	1	0	1	100
"391"	"Cigarettes smoked per day (MTAG)"	8	6	2	57.1428571428571
"392"	"Circulating cell-free DNA"	1	1	0	50
"393"	"Circulating fibroblast growth factor 23 levels"	1	1	0	50
"394"	"circulating leptin levels"	44	8	36	84.6153846153846
"395"	"circulating leptin levels adjusted for BMI"	46	15	31	75.4098360655738
"396"	"Circulating myeloperoxidase levels (plasma)"	1	1	0	50
"397"	"Circulating myeloperoxidase levels (serum)"	3	2	1	60
"398"	"Cirrhosis (alcohol related)"	1	1	0	50
"399"	"Cisplatin-induced ototoxicity"	3	2	1	60
"400"	"Classic bladder exstrophy"	1	1	0	50
"401"	"Cleft lip"	1	1	0	50
"402"	"Cleft palate"	4	4	0	50
"403"	"Clozapine-induced agranulocytosis"	2	2	0	50
"404"	"Clozapine concentration in schizophrenia"	1	1	0	50
"405"	"Coffee consumption"	16	11	5	59.2592592592593
"406"	"Coffee consumption (cups per day)"	8	5	3	61.5384615384615
"407"	"Cognitive aspects of educational attainment"	23	6	17	79.3103448275862
"408"	"Cognitive decline rate in late mild cognitive impairment"	14	0	14	100
"409"	"Cognitive empathy"	4	0	4	100
"410"	"Cognitive performance"	15	7	8	68.1818181818182
"411"	"Cognitive performance (MTAG)"	31	15	16	67.3913043478261
"412"	"Cold sores"	1	1	0	50
"413"	"Colon cancer"	2	1	1	66.6666666666667
"414"	"Colorectal cancer"	130	85	45	60.4651162790698
"415"	"Colorectal cancer or advanced adenoma"	18	12	6	60
"416"	"Colorectal or endometrial cancer"	2	1	1	66.6666666666667
"417"	"Common carotid intima-media thickness"	1	1	0	50
"418"	"Common carotid intima-media thickness in HIV negative individuals"	1	0	1	100
"419"	"Common traits (Other)"	2	1	1	66.6666666666667
"420"	"Complement C3 and C4 levels"	4	2	2	66.6666666666667
"421"	"Composite immunoglobulin trait (IgA/IgG)"	1	1	0	50
