# This file was produced by bcftools (1.21+htslib-1.21), the command line was:
# 	 bcftools gtcheck  -g ground_truth.vcf.gz imputed_samples_chr1.vcf.gz
# and the working directory was:
# 	 /content
#
INFO	Time required to process one record .. 0.000012 seconds
INFO	sites-compared	54220
INFO	sites-skipped-no-match	97644
INFO	sites-skipped-multiallelic	0
INFO	sites-skipped-monoallelic	0
INFO	sites-skipped-no-data	0
INFO	sites-skipped-GT-not-diploid	0
INFO	sites-skipped-PL-not-diploid	0
INFO	sites-skipped-filtering-expression	0
INFO	sites-used-PL-vs-PL	0
INFO	sites-used-PL-vs-GT	0
INFO	sites-used-GT-vs-PL	0
INFO	sites-used-GT-vs-GT	54220
# DCv2, discordance version 2:
#     - Query sample
#     - Genotyped sample
#     - Discordance, given either as an abstract score or number of mismatches, see the options -E/-u
#       in man page for details. Note that samples with high missingness have fewer sites compared,
#       which results in lower overall discordance. Therefore it is advisable to use the average score
#       per site rather than the absolute value, i.e. divide the value by the number of sites compared
#       (smaller value = better match)
#     - Average negative log of HWE probability at matching sites, attempts to quantify the following
#       intuition: rare genotype matches are more informative than common genotype matches, hence two
#       samples with similar discordance can be further stratified by the HWE score (bigger value = better
#       match, the observed concordance was less likely to occur by chance)
#     - Number of sites compared for this pair of samples (bigger = more informative)
#     - Number of matching genotypes
#DCv2	[2]Query Sample	[3]Genotyped Sample	[4]Discordance	[5]Average -log P(HWE)	[6]Number of sites compared	[7]Number of matching genotypes
DCv2	EGAN00001060184	EGAN00001060194	4.463331e+04	5.154403e-02	54220	49670
DCv2	EGAN00001060184	EGAN00001060197	5.167922e+04	4.729439e-02	54220	49524
DCv2	EGAN00001060185	EGAN00001060849	5.357655e+04	4.792267e-02	54220	48952
DCv2	EGAN00001060185	EGAN00001060184	5.248973e+04	4.978510e-02	54220	49270
DCv2	EGAN00001060185	EGAN00001060185	7.736686e+02	1.447151e-01	54220	54136
DCv2	EGAN00001060185	EGAN00001060850	4.870428e+04	5.204791e-02	54220	49302
DCv2	EGAN00001060185	EGAN00001060187	5.228710e+04	4.205820e-02	54220	49103
DCv2	EGAN00001060185	EGAN00001061072	5.548309e+04	4.193267e-02	54220	49390
DCv2	EGAN00001060185	EGAN00001060190	5.412917e+04	5.416229e-02	54220	48864
DCv2	EGAN00001060185	EGAN00001060852	5.163317e+04	4.583735e-02	54220	49043
DCv2	EGAN00001060185	EGAN00001060194	4.910953e+04	4.739416e-02	54220	49282
DCv2	EGAN00001060185	EGAN00001060197	4.641091e+04	5.440545e-02	54220	49628
DCv2	EGAN00001060850	EGAN00001060849	5.331866e+04	4.380369e-02	54220	48949
DCv2	EGAN00001060850	EGAN00001060184	5.346603e+04	4.317193e-02	54220	49106
DCv2	EGAN00001060850	EGAN00001060185	4.883322e+04	5.210418e-02	54220	49294
DCv2	EGAN00001060850	EGAN00001060850	6.631445e+02	1.335761e-01	54220	54153
DCv2	EGAN00001060850	EGAN00001060187	4.744246e+04	4.564801e-02	54220	49535
DCv2	EGAN00001060850	EGAN00001061072	5.526204e+04	3.959488e-02	54220	49475
DCv2	EGAN00001060850	EGAN00001060190	4.933979e+04	5.558317e-02	54220	49214
DCv2	EGAN00001060850	EGAN00001060852	4.387806e+04	5.309785e-02	54220	49844
DCv2	EGAN00001060850	EGAN00001060194	4.341754e+04	5.327710e-02	54220	49840
DCv2	EGAN00001060850	EGAN00001060197	4.764509e+04	4.634027e-02	54220	49462
DCv2	EGAN00001060187	EGAN00001060849	4.106891e+04	5.828453e-02	54220	49998
DCv2	EGAN00001060187	EGAN00001060184	4.548987e+04	4.782492e-02	54220	49586
DCv2	EGAN00001060187	EGAN00001060185	5.246210e+04	4.195164e-02	54220	49086
DCv2	EGAN00001060187	EGAN00001060850	4.745167e+04	4.561972e-02	54220	49534
DCv2	EGAN00001060187	EGAN00001060187	4.881480e+02	1.212511e-01	54220	54167
DCv2	EGAN00001060187	EGAN00001061072	4.936742e+04	4.369375e-02	54220	50022
DCv2	EGAN00001060187	EGAN00001060190	5.510547e+04	4.341191e-02	54220	48904
DCv2	EGAN00001060187	EGAN00001060852	4.559118e+04	4.645929e-02	54220	49716
DCv2	EGAN00001060187	EGAN00001060194	3.824133e+04	5.524512e-02	54220	50264
DCv2	EGAN00001060187	EGAN00001060197	4.233993e+04	5.294607e-02	54220	50105
DCv2	EGAN00001061072	EGAN00001060849	4.830824e+04	4.880424e-02	54220	49770
DCv2	EGAN00001061072	EGAN00001060184	5.501336e+04	4.338162e-02	54220	49700
DCv2	EGAN00001061072	EGAN00001060185	5.544625e+04	4.194558e-02	54220	49393
DCv2	EGAN00001061072	EGAN00001060850	5.507784e+04	3.959843e-02	54220	49489
DCv2	EGAN00001061072	EGAN00001060187	4.919243e+04	4.369673e-02	54220	50035
DCv2	EGAN00001061072	EGAN00001061072	3.868343e+02	1.373300e-01	54220	54193
DCv2	EGAN00001061072	EGAN00001060190	6.667365e+04	3.208866e-02	54220	48736
DCv2	EGAN00001061072	EGAN00001060852	5.242526e+04	3.994004e-02	54220	49692
DCv2	EGAN00001061072	EGAN00001060194	5.389891e+04	3.503694e-02	54220	49412
DCv2	EGAN00001061072	EGAN00001060197	5.309761e+04	4.116014e-02	54220	49826
DCv2	EGAN00001060190	EGAN00001060849	5.271078e+04	5.450962e-02	54220	49129
DCv2	EGAN00001060190	EGAN00001060184	5.777647e+04	4.418045e-02	54220	48612
DCv2	EGAN00001060190	EGAN00001060185	5.417522e+04	5.405382e-02	54220	48863
DCv2	EGAN00001060190	EGAN00001060850	4.925690e+04	5.554564e-02	54220	49223
DCv2	EGAN00001060190	EGAN00001060187	5.499494e+04	4.341138e-02	54220	48916
DCv2	EGAN00001060190	EGAN00001061072	6.664602e+04	3.222080e-02	54220	48741
DCv2	EGAN00001060190	EGAN00001060190	4.513067e+02	1.595239e-01	54220	54171
DCv2	EGAN00001060190	EGAN00001060852	5.294104e+04	4.781406e-02	54220	48992
DCv2	EGAN00001060190	EGAN00001060194	5.202000e+04	4.736277e-02	54220	48984
DCv2	EGAN00001060190	EGAN00001060197	5.153185e+04	5.017325e-02	54220	49145
DCv2	EGAN00001060852	EGAN00001060849	5.177132e+04	4.242639e-02	54220	49012
DCv2	EGAN00001060852	EGAN00001060184	4.552671e+04	5.247846e-02	54220	49699
DCv2	EGAN00001060852	EGAN00001060185	5.148580e+04	4.594014e-02	54220	49061
DCv2	EGAN00001060852	EGAN00001060850	4.369385e+04	5.300136e-02	54220	49859
DCv2	EGAN00001060852	EGAN00001060187	4.537935e+04	4.644170e-02	54220	49737
DCv2	EGAN00001060852	EGAN00001061072	5.238842e+04	3.991867e-02	54220	49700
DCv2	EGAN00001060852	EGAN00001060190	5.291341e+04	4.770275e-02	54220	48998
DCv2	EGAN00001060852	EGAN00001060852	5.894618e+02	1.272806e-01	54220	54156
DCv2	EGAN00001060852	EGAN00001060194	3.899658e+04	5.593188e-02	54220	50109
DCv2	EGAN00001060852	EGAN00001060197	4.600565e+04	4.738571e-02	54220	49651
DCv2	EGAN00001060194	EGAN00001060849	4.548066e+04	5.179953e-02	54220	49552
DCv2	EGAN00001060194	EGAN00001060184	4.452279e+04	5.154284e-02	54220	49687
DCv2	EGAN00001060194	EGAN00001060185	4.913717e+04	4.745409e-02	54220	49282
DCv2	EGAN00001060194	EGAN00001060850	4.338991e+04	5.325256e-02	54220	49847
DCv2	EGAN00001060194	EGAN00001060187	3.814923e+04	5.534229e-02	54220	50276
DCv2	EGAN00001060194	EGAN00001061072	5.398180e+04	3.509152e-02	54220	49409
DCv2	EGAN00001060194	EGAN00001060190	5.203842e+04	4.743470e-02	54220	48983
DCv2	EGAN00001060194	EGAN00001060852	3.919000e+04	5.593109e-02	54220	50094
DCv2	EGAN00001060194	EGAN00001060194	6.170928e+02	1.215049e-01	54220	54153
DCv2	EGAN00001060194	EGAN00001060197	4.507541e+04	4.847326e-02	54220	49724
DCv2	EGAN00001060197	EGAN00001060849	5.002136e+04	4.695528e-02	54220	49311
DCv2	EGAN00001060197	EGAN00001060184	5.162396e+04	4.712501e-02	54220	49533
DCv2	EGAN00001060197	EGAN00001060185	4.654906e+04	5.425562e-02	54220	49617
DCv2	EGAN00001060197	EGAN00001060850	4.765430e+04	4.617662e-02	54220	49459
DCv2	EGAN00001060197	EGAN00001060187	4.232151e+04	5.288030e-02	54220	50107
DCv2	EGAN00001060197	EGAN00001061072	5.318051e+04	4.112927e-02	54220	49821
DCv2	EGAN00001060197	EGAN00001060190	5.158712e+04	5.021407e-02	54220	49141
DCv2	EGAN00001060197	EGAN00001060852	4.616223e+04	4.738822e-02	54220	49636
DCv2	EGAN00001060197	EGAN00001060194	4.511225e+04	4.839797e-02	54220	49720
DCv2	EGAN00001060197	EGAN00001060197	3.223619e+02	1.306648e-01	54220	54187
